date,marketmove
29/10/2012,-1
30/10/2012,-1
31/10/2012,12
1/11/2012,1
2/11/2012,0
5/11/2012,4
6/11/2012,0
7/11/2012,3
8/11/2012,0
9/11/2012,1
12/11/2012,5
13/11/2012,6
14/11/2012,6
15/11/2012,12
16/11/2012,1
19/11/2012,0
20/11/2012,5
21/11/2012,5
23/11/2012,-1
26/11/2012,12
27/11/2012,0
28/11/2012,0
29/11/2012,1
30/11/2012,12
3/12/2012,2
4/12/2012,12
5/12/2012,11
6/12/2012,5
7/12/2012,12
10/12/2012,11
11/12/2012,0
12/12/2012,5
13/12/2012,0
14/12/2012,0
17/12/2012,4
18/12/2012,1
19/12/2012,0
20/12/2012,0
21/12/2012,3
24/12/2012,-1
26/12/2012,0
27/12/2012,12
28/12/2012,6
31/12/2012,0
2/01/2013,0
3/01/2013,11
4/01/2013,0
7/01/2013,5
8/01/2013,5
9/01/2013,11
10/01/2013,0
11/01/2013,5
14/01/2013,12
15/01/2013,5
16/01/2013,5
17/01/2013,0
18/01/2013,7
22/01/2013,0
23/01/2013,12
24/01/2013,5
25/01/2013,0
28/01/2013,5
29/01/2013,0
30/01/2013,5
31/01/2013,5
1/02/2013,0
4/02/2013,0
5/02/2013,0
6/02/2013,5
7/02/2013,12
8/02/2013,0
11/02/2013,5
12/02/2013,11
13/02/2013,5
14/02/2013,5
15/02/2013,5
19/02/2013,0
20/02/2013,0
21/02/2013,0
22/02/2013,0
25/02/2013,0
26/02/2013,0
27/02/2013,0
28/02/2013,11
1/03/2013,11
4/03/2013,0
5/03/2013,0
6/03/2013,12
7/03/2013,5
8/03/2013,0
11/03/2013,0
12/03/2013,12
13/03/2013,11
14/03/2013,0
15/03/2013,11
18/03/2013,0
19/03/2013,12
20/03/2013,0
21/03/2013,0
22/03/2013,1
25/03/2013,5
26/03/2013,0
27/03/2013,0
28/03/2013,7
1/04/2013,3
2/04/2013,0
3/04/2013,0
4/04/2013,0
5/04/2013,0
8/04/2013,0
9/04/2013,1
10/04/2013,0
11/04/2013,5
12/04/2013,12
15/04/2013,3
16/04/2013,0
17/04/2013,0
18/04/2013,0
19/04/2013,0
22/04/2013,0
23/04/2013,0
24/04/2013,12
25/04/2013,1
26/04/2013,12
29/04/2013,1
30/04/2013,4
1/05/2013,3
2/05/2013,1
3/05/2013,7
6/05/2013,5
7/05/2013,1
8/05/2013,0
9/05/2013,5
10/05/2013,7
13/05/2013,11
14/05/2013,0
15/05/2013,0
16/05/2013,3
17/05/2013,7
20/05/2013,11
21/05/2013,11
22/05/2013,0
23/05/2013,0
24/05/2013,0
28/05/2013,1
29/05/2013,3
30/05/2013,5
31/05/2013,3
3/06/2013,7
4/06/2013,2
5/06/2013,3
6/06/2013,7
7/06/2013,7
10/06/2013,11
11/06/2013,3
12/06/2013,2
13/06/2013,0
14/06/2013,3
17/06/2013,7
18/06/2013,1
19/06/2013,6
20/06/2013,3
21/06/2013,1
24/06/2013,3
25/06/2013,7
26/06/2013,1
27/06/2013,1
28/06/2013,5
1/07/2013,7
2/07/2013,11
3/07/2013,-1
5/07/2013,7
8/07/2013,1
9/07/2013,7
10/07/2013,12
11/07/2013,7
12/07/2013,7
15/07/2013,5
16/07/2013,5
17/07/2013,7
18/07/2013,1
19/07/2013,5
22/07/2013,1
23/07/2013,12
24/07/2013,2
25/07/2013,12
26/07/2013,4
29/07/2013,12
30/07/2013,12
31/07/2013,5
1/08/2013,1
2/08/2013,4
5/08/2013,5
6/08/2013,3
7/08/2013,12
8/08/2013,1
9/08/2013,5
12/08/2013,5
13/08/2013,7
14/08/2013,3
15/08/2013,3
16/08/2013,5
19/08/2013,3
20/08/2013,1
21/08/2013,3
22/08/2013,1
23/08/2013,7
26/08/2013,6
27/08/2013,3
28/08/2013,11
29/08/2013,4
30/08/2013,5
3/09/2013,1
4/09/2013,1
5/09/2013,7
6/09/2013,11
9/09/2013,1
10/09/2013,1
11/09/2013,13
12/09/2013,5
13/09/2013,7
16/09/2013,7
17/09/2013,1
18/09/2013,7
19/09/2013,5
20/09/2013,2
23/09/2013,2
24/09/2013,6
25/09/2013,5
26/09/2013,1
27/09/2013,11
30/09/2013,5
