date,marketmove
3/01/2005,2
4/01/2005,2
5/01/2005,9
6/01/2005,1
7/01/2005,0
10/01/2005,13
11/01/2005,3
12/01/2005,5
13/01/2005,2
14/01/2005,1
17/01/2005,0
18/01/2005,13
19/01/2005,3
20/01/2005,9
21/01/2005,2
24/01/2005,0
25/01/2005,1
26/01/2005,1
27/01/2005,0
28/01/2005,12
31/01/2005,11
1/02/2005,7
2/02/2005,0
3/02/2005,5
4/02/2005,13
7/02/2005,9
8/02/2005,1
9/02/2005,2
10/02/2005,5
11/02/2005,13
14/02/2005,5
15/02/2005,1
16/02/2005,0
17/02/2005,2
18/02/2005,5
21/02/2005,0
22/02/2005,3
23/02/2005,1
24/02/2005,13
25/02/2005,1
28/02/2005,3
1/03/2005,1
2/03/2005,0
3/03/2005,1
4/03/2005,1
7/03/2005,11
8/03/2005,3
9/03/2005,3
10/03/2005,5
11/03/2005,3
14/03/2005,1
15/03/2005,2
16/03/2005,3
17/03/2005,5
18/03/2005,3
21/03/2005,0
22/03/2005,6
23/03/2005,0
24/03/2005,1
25/03/2005,0
28/03/2005,1
29/03/2005,6
30/03/2005,1
31/03/2005,5
1/04/2005,2
4/04/2005,0
5/04/2005,1
6/04/2005,1
7/04/2005,13
8/04/2005,3
11/04/2005,5
12/04/2005,0
13/04/2005,3
14/04/2005,2
15/04/2005,3
18/04/2005,0
19/04/2005,1
20/04/2005,2
21/04/2005,7
22/04/2005,9
25/04/2005,1
26/04/2005,3
27/04/2005,13
28/04/2005,3
29/04/2005,7
2/05/2005,1
3/05/2005,0
4/05/2005,7
5/05/2005,2
6/05/2005,2
9/05/2005,7
10/05/2005,3
11/05/2005,7
12/05/2005,2
13/05/2005,0
16/05/2005,13
17/05/2005,13
18/05/2005,1
19/05/2005,10
20/05/2005,12
23/05/2005,1
24/05/2005,10
25/05/2005,0
26/05/2005,1
27/05/2005,5
30/05/2005,0
31/05/2005,3
1/06/2005,1
2/06/2005,0
3/06/2005,3
6/06/2005,10
7/06/2005,1
8/06/2005,0
9/06/2005,13
10/06/2005,0
13/06/2005,13
14/06/2005,0
15/06/2005,12
16/06/2005,1
17/06/2005,5
20/06/2005,4
21/06/2005,11
22/06/2005,12
23/06/2005,3
24/06/2005,2
27/06/2005,11
28/06/2005,1
29/06/2005,0
30/06/2005,2
1/07/2005,1
4/07/2005,0
5/07/2005,13
6/07/2005,3
7/07/2005,13
8/07/2005,1
11/07/2005,1
12/07/2005,4
13/07/2005,0
14/07/2005,1
15/07/2005,0
18/07/2005,9
19/07/2005,1
20/07/2005,13
21/07/2005,2
22/07/2005,1
25/07/2005,11
26/07/2005,1
27/07/2005,7
28/07/2005,7
29/07/2005,3
1/08/2005,5
2/08/2005,1
3/08/2005,0
4/08/2005,3
5/08/2005,3
8/08/2005,2
9/08/2005,1
10/08/2005,2
11/08/2005,10
12/08/2005,3
15/08/2005,7
16/08/2005,3
17/08/2005,11
18/08/2005,5
19/08/2005,2
22/08/2005,1
23/08/2005,0
24/08/2005,6
25/08/2005,1
26/08/2005,3
29/08/2005,13
30/08/2005,3
31/08/2005,7
1/09/2005,9
2/09/2005,2
5/09/2005,0
6/09/2005,1
7/09/2005,10
8/09/2005,9
9/09/2005,1
12/09/2005,5
13/09/2005,3
14/09/2005,0
15/09/2005,0
16/09/2005,7
19/09/2005,3
20/09/2005,2
21/09/2005,3
22/09/2005,1
23/09/2005,5
26/09/2005,2
27/09/2005,0
28/09/2005,1
29/09/2005,13
30/09/2005,0
3/10/2005,3
4/10/2005,2
5/10/2005,2
6/10/2005,0
7/10/2005,2
10/10/2005,2
11/10/2005,2
12/10/2005,3
13/10/2005,5
14/10/2005,7
17/10/2005,1
18/10/2005,3
19/10/2005,4
20/10/2005,3
21/10/2005,1
24/10/2005,1
25/10/2005,5
26/10/2005,11
27/10/2005,3
28/10/2005,1
31/10/2005,1
1/11/2005,9
2/11/2005,13
3/11/2005,1
4/11/2005,0
7/11/2005,5
8/11/2005,0
9/11/2005,0
10/11/2005,7
11/11/2005,0
14/11/2005,5
15/11/2005,3
16/11/2005,5
17/11/2005,1
18/11/2005,12
21/11/2005,7
22/11/2005,13
23/11/2005,13
24/11/2005,0
25/11/2005,11
28/11/2005,2
29/11/2005,2
30/11/2005,2
1/12/2005,1
2/12/2005,1
5/12/2005,5
6/12/2005,11
7/12/2005,3
8/12/2005,11
9/12/2005,5
12/12/2005,1
13/12/2005,13
14/12/2005,0
15/12/2005,2
16/12/2005,3
19/12/2005,2
20/12/2005,9
21/12/2005,1
22/12/2005,7
23/12/2005,5
26/12/2005,0
27/12/2005,2
28/12/2005,1
29/12/2005,6
30/12/2005,3
2/01/2006,0
3/01/2006,7
4/01/2006,1
5/01/2006,5
6/01/2006,7
9/01/2006,0
10/01/2006,0
11/01/2006,7
12/01/2006,6
13/01/2006,5
16/01/2006,0
17/01/2006,10
18/01/2006,10
19/01/2006,5
20/01/2006,3
23/01/2006,1
24/01/2006,1
25/01/2006,2
26/01/2006,10
27/01/2006,1
30/01/2006,11
31/01/2006,3
1/02/2006,1
2/02/2006,3
3/02/2006,9
6/02/2006,1
7/02/2006,3
8/02/2006,7
9/02/2006,6
10/02/2006,5
13/02/2006,5
14/02/2006,0
15/02/2006,0
16/02/2006,7
17/02/2006,3
20/02/2006,0
21/02/2006,0
22/02/2006,1
23/02/2006,11
24/02/2006,1
27/02/2006,1
28/02/2006,3
1/03/2006,1
2/03/2006,0
3/03/2006,0
6/03/2006,2
7/03/2006,5
8/03/2006,0
9/03/2006,2
10/03/2006,1
13/03/2006,1
14/03/2006,13
15/03/2006,0
16/03/2006,1
17/03/2006,9
20/03/2006,2
21/03/2006,3
22/03/2006,13
23/03/2006,3
24/03/2006,11
27/03/2006,5
28/03/2006,6
29/03/2006,1
30/03/2006,2
31/03/2006,1
3/04/2006,6
4/04/2006,1
5/04/2006,1
6/04/2006,10
7/04/2006,2
10/04/2006,11
11/04/2006,2
12/04/2006,1
13/04/2006,11
14/04/2006,0
17/04/2006,2
18/04/2006,1
19/04/2006,10
20/04/2006,1
21/04/2006,2
24/04/2006,5
25/04/2006,2
26/04/2006,1
27/04/2006,13
28/04/2006,0
1/05/2006,2
2/05/2006,7
3/05/2006,3
4/05/2006,1
5/05/2006,1
8/05/2006,5
9/05/2006,11
10/05/2006,5
11/05/2006,3
12/05/2006,3
15/05/2006,13
16/05/2006,0
17/05/2006,3
18/05/2006,2
19/05/2006,10
22/05/2006,5
23/05/2006,2
24/05/2006,1
25/05/2006,7
26/05/2006,7
29/05/2006,0
30/05/2006,3
31/05/2006,1
1/06/2006,13
2/06/2006,12
5/06/2006,3
6/06/2006,0
7/06/2006,6
8/06/2006,0
9/06/2006,2
12/06/2006,2
13/06/2006,6
14/06/2006,1
15/06/2006,1
16/06/2006,3
19/06/2006,2
20/06/2006,11
21/06/2006,13
22/06/2006,3
23/06/2006,11
26/06/2006,1
27/06/2006,2
28/06/2006,10
29/06/2006,1
30/06/2006,5
3/07/2006,1
4/07/2006,0
5/07/2006,12
6/07/2006,1
7/07/2006,3
10/07/2006,1
11/07/2006,0
12/07/2006,3
13/07/2006,3
14/07/2006,0
17/07/2006,5
18/07/2006,1
19/07/2006,1
20/07/2006,2
21/07/2006,0
24/07/2006,1
25/07/2006,10
26/07/2006,5
27/07/2006,2
28/07/2006,1
31/07/2006,0
1/08/2006,12
2/08/2006,1
3/08/2006,13
4/08/2006,2
7/08/2006,5
8/08/2006,9
9/08/2006,2
10/08/2006,13
